epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.25499,1.65304,0.44961,0.96899,1.50508,3.1e-05,3.1e-05,0.069031
2,11.6207,1.3686,0.47287,0.96899,1.28555,6.05052e-05,6.05052e-05,0.0370605
3,17.0676,1.23479,0.47287,0.99225,1.30703,8.7476e-05,8.7476e-05,0.00508748
4,20.6082,1.12975,0.50388,1,1.1582,8.812e-05,8.812e-05,8.812e-05
5,24.1486,1.0564,0.50388,1,1.08682,8.416e-05,8.416e-05,8.416e-05
6,27.739,1.0208,0.52713,0.99225,1.17441,8.02e-05,8.02e-05,8.02e-05
7,31.3811,0.9479,0.53488,1,1.34785,7.624e-05,7.624e-05,7.624e-05
8,34.9664,0.87681,0.53488,1,0.92623,7.228e-05,7.228e-05,7.228e-05
9,38.5214,0.80619,0.55814,1,0.94617,6.832e-05,6.832e-05,6.832e-05
10,42.3679,0.76759,0.56589,1,0.95737,6.436e-05,6.436e-05,6.436e-05
11,46.0158,0.70344,0.56589,1,0.89486,6.04e-05,6.04e-05,6.04e-05
12,51.282,0.66607,0.55814,1,1.29414,5.644e-05,5.644e-05,5.644e-05
13,54.9564,0.65166,0.5969,1,1.24424,5.248e-05,5.248e-05,5.248e-05
14,58.4955,0.60425,0.57364,1,1.08135,4.852e-05,4.852e-05,4.852e-05
15,61.9965,0.56074,0.5814,1,0.90667,4.456e-05,4.456e-05,4.456e-05
16,67.07,0.56374,0.56589,1,0.88831,4.06e-05,4.06e-05,4.06e-05
17,70.8433,0.5394,0.57364,1,0.9627,3.664e-05,3.664e-05,3.664e-05
18,74.5077,0.45154,0.57364,1,1.27432,3.268e-05,3.268e-05,3.268e-05
