epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.34834,1.65313,0.43411,0.96899,1.5168,3.1e-05,3.1e-05,0.069031
2,13.4842,1.36837,0.46512,0.9845,1.3043,6.27541e-05,6.27541e-05,0.0370628
3,18.2216,1.23198,0.47287,0.99225,1.31543,9.35226e-05,9.35226e-05,0.00509352
4,25.3711,1.12324,0.48837,1,1.16475,9.65239e-05,9.65239e-05,9.65239e-05
5,29.9892,1.04372,0.51163,1,1.08408,9.38772e-05,9.38772e-05,9.38772e-05
6,34.63,1.00349,0.55039,1,1.1584,9.05463e-05,9.05463e-05,9.05463e-05
7,39.3502,0.92372,0.55039,1,1.32539,8.65839e-05,8.65839e-05,8.65839e-05
8,44.1329,0.85222,0.52713,1,0.91758,8.20525e-05,8.20525e-05,8.20525e-05
9,48.9412,0.77476,0.54264,1,0.93735,7.70234e-05,7.70234e-05,7.70234e-05
10,53.569,0.73582,0.56589,1,0.96016,7.15761e-05,7.15761e-05,7.15761e-05
11,61.2904,0.66444,0.55039,1,0.89601,6.57963e-05,6.57963e-05,6.57963e-05
12,65.9911,0.63202,0.5814,1,1.30137,5.97754e-05,5.97754e-05,5.97754e-05
13,70.7414,0.61483,0.5814,1,1.27861,5.36081e-05,5.36081e-05,5.36081e-05
14,75.5257,0.567,0.5814,1,1.07861,4.73919e-05,4.73919e-05,4.73919e-05
15,80.3504,0.52993,0.58915,1,0.9104,4.12246e-05,4.12246e-05,4.12246e-05
16,86.49,0.53494,0.57364,1,0.88736,3.52037e-05,3.52037e-05,3.52037e-05
17,93.9012,0.51244,0.5814,1,0.96846,2.94239e-05,2.94239e-05,2.94239e-05
18,98.6975,0.42969,0.55814,1,1.26768,2.39766e-05,2.39766e-05,2.39766e-05
19,103.426,0.47473,0.55814,1,1.02207,1.89475e-05,1.89475e-05,1.89475e-05
20,108.091,0.50299,0.55039,1,0.95874,1.44161e-05,1.44161e-05,1.44161e-05
