epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.46468,1.80119,0.28462,0.93846,1.80195,0.00219058,0.00219058,0.0701906
2,8.50828,1.57866,0.33077,0.93077,1.64199,0.00419258,0.00419258,0.0391926
3,13.4433,1.3766,0.38462,0.98462,1.39102,0.00593358,0.00593358,0.00793358
4,16.341,1.13676,0.42308,0.96923,1.23213,0.00565922,0.00565922,0.00565922
5,19.0953,1.06077,0.5,0.96154,1.40293,0.00526377,0.00526377,0.00526377
6,23.2545,0.92243,0.52308,0.96923,1.60156,0.00486832,0.00486832,0.00486832
7,26.2081,0.90233,0.53077,0.96923,1.08979,0.00447287,0.00447287,0.00447287
8,29.0894,0.84159,0.52308,0.98462,1.63477,0.00407742,0.00407742,0.00407742
9,31.9514,0.77752,0.49231,0.98462,1.27119,0.00368197,0.00368197,0.00368197
10,34.762,0.75115,0.53846,0.97692,1.27393,0.00328652,0.00328652,0.00328652
11,37.6222,0.72408,0.53846,0.98462,1.30742,0.00289107,0.00289107,0.00289107
12,40.6207,0.64724,0.55385,0.97692,1.36416,0.00249562,0.00249562,0.00249562
13,45.3259,0.63284,0.56923,0.97692,1.34355,0.00210017,0.00210017,0.00210017
14,48.4397,0.60759,0.55385,0.97692,1.22285,0.00170472,0.00170472,0.00170472
15,51.6035,0.59008,0.59231,0.97692,1.33008,0.00130927,0.00130927,0.00130927
