epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.54204,1.8048,0.35385,0.96154,1.56562,0.00226327,0.00226327,0.0780208
2,9.14093,1.61473,0.43846,0.97692,1.45293,0.00442012,0.00442012,0.0551777
3,12.3838,1.38054,0.55385,0.97692,1.18789,0.00639707,0.00639707,0.0321547
4,15.6418,1.20518,0.49231,0.97692,1.4998,0.00819415,0.00819415,0.00895173
5,18.9569,1.04611,0.53846,0.98462,1.06064,0.00789694,0.00789694,0.00789694
6,24.9218,1.00045,0.56923,0.99231,1.07109,0.00753717,0.00753717,0.00753717
7,28.1376,0.88867,0.55385,0.99231,1.01387,0.0071774,0.0071774,0.0071774
8,31.5731,0.78091,0.60769,0.98462,1.03379,0.00681764,0.00681764,0.00681764
9,35.0567,0.76975,0.56154,0.99231,1.0127,0.00645787,0.00645787,0.00645787
10,38.6365,0.71945,0.61538,0.98462,1.54463,0.0060981,0.0060981,0.0060981
11,42.001,0.67616,0.60769,0.99231,1.00234,0.00573834,0.00573834,0.00573834
12,45.8515,0.6306,0.6,0.99231,1.06299,0.00537857,0.00537857,0.00537857
13,49.252,0.6287,0.59231,0.99231,0.93367,0.00501881,0.00501881,0.00501881
14,52.5383,0.5984,0.57692,0.95385,1.57695,0.00465904,0.00465904,0.00465904
15,56.1038,0.47225,0.61538,1,0.9688,0.00429927,0.00429927,0.00429927
16,63.7229,0.47649,0.62308,1,0.95696,0.00393951,0.00393951,0.00393951
17,67.394,0.45331,0.63077,1,1.21807,0.00357974,0.00357974,0.00357974
18,70.7467,0.3252,0.63846,1,1.55166,0.00321998,0.00321998,0.00321998
19,74.5351,0.47824,0.61538,0.99231,1.0026,0.00286021,0.00286021,0.00286021
20,77.9031,0.47659,0.63846,1,0.99448,0.00250044,0.00250044,0.00250044
21,81.3188,0.35154,0.63077,1,0.94976,0.00214068,0.00214068,0.00214068
22,84.5554,0.3747,0.65385,1,0.88911,0.00178091,0.00178091,0.00178091
23,88.046,0.34547,0.63846,1,1.01582,0.00142115,0.00142115,0.00142115
24,91.4668,0.32918,0.62308,1,0.92268,0.00106138,0.00106138,0.00106138
25,97.4537,0.26413,0.66154,1,1.57217,0.000701613,0.000701613,0.000701613
