epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.18561,0.65141,0.72093,1,0.52632,3.1e-05,3.1e-05,0.069031
2,15.9805,0.57612,0.75969,1,0.43079,6.05052e-05,6.05052e-05,0.0370605
3,24.0815,0.51167,0.72093,1,0.45336,8.7476e-05,8.7476e-05,0.00508748
4,29.6245,0.49968,0.75969,1,0.43562,8.812e-05,8.812e-05,8.812e-05
5,35.2043,0.45924,0.73643,1,0.66484,8.416e-05,8.416e-05,8.416e-05
6,40.6112,0.4163,0.73643,1,0.4895,8.02e-05,8.02e-05,8.02e-05
7,45.9716,0.37587,0.76744,1,0.39891,7.624e-05,7.624e-05,7.624e-05
8,51.2898,0.37887,0.75969,1,0.87061,7.228e-05,7.228e-05,7.228e-05
9,58.9391,0.35796,0.76744,1,0.42124,6.832e-05,6.832e-05,6.832e-05
10,64.4838,0.35347,0.78295,1,0.55342,6.436e-05,6.436e-05,6.436e-05
11,69.3244,0.3016,0.75194,1,0.45347,6.04e-05,6.04e-05,6.04e-05
12,74.1106,0.25821,0.75969,1,0.69487,5.644e-05,5.644e-05,5.644e-05
13,79.0076,0.28691,0.75194,1,0.41686,5.248e-05,5.248e-05,5.248e-05
14,83.9004,0.22656,0.75969,1,0.58613,4.852e-05,4.852e-05,4.852e-05
15,91.6186,0.22734,0.75194,1,1.02515,4.456e-05,4.456e-05,4.456e-05
