epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.19455,1.6741,0.37209,0.95349,1.35,3.1e-05,3.1e-05,0.069031
2,12.5128,1.36874,0.47287,0.99225,1.18623,6.05052e-05,6.05052e-05,0.0370605
3,15.8262,1.20962,0.49612,1,1.31289,8.7476e-05,8.7476e-05,0.00508748
4,19.1171,1.11159,0.50388,1,1.33633,8.812e-05,8.812e-05,8.812e-05
5,22.3768,1.00909,0.47287,1,1.37441,8.416e-05,8.416e-05,8.416e-05
6,25.6408,0.97798,0.51938,0.99225,1.06963,8.02e-05,8.02e-05,8.02e-05
7,28.9741,0.89273,0.52713,1,1.16797,7.624e-05,7.624e-05,7.624e-05
8,32.3575,0.82871,0.54264,1,0.92249,7.228e-05,7.228e-05,7.228e-05
9,35.6737,0.75961,0.51163,1,0.94639,6.832e-05,6.832e-05,6.832e-05
10,38.8805,0.69845,0.55039,1,1.04844,6.436e-05,6.436e-05,6.436e-05
11,44.8492,0.61619,0.5814,1,0.90698,6.04e-05,6.04e-05,6.04e-05
12,48.363,0.5956,0.5814,1,1.22852,5.644e-05,5.644e-05,5.644e-05
13,51.8623,0.59961,0.55814,0.99225,1.47334,5.248e-05,5.248e-05,5.248e-05
14,55.5533,0.54131,0.53488,0.99225,1.31455,4.852e-05,4.852e-05,4.852e-05
15,58.8258,0.51124,0.55039,0.99225,0.99877,4.456e-05,4.456e-05,4.456e-05
16,63.7021,0.47965,0.56589,0.99225,0.96672,4.06e-05,4.06e-05,4.06e-05
