epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.84506,1.66488,0.37984,0.95349,1.40215,6.3239e-05,6.3239e-05,0.0680632
2,11.0965,1.42575,0.48837,0.9845,1.19014,0.00012045,0.00012045,0.0351205
3,14.2351,1.23105,0.56589,0.99225,1.46309,0.000169534,0.000169534,0.00216953
4,17.3858,1.12003,0.5814,0.99225,0.89597,0.00016068,0.00016068,0.00016068
5,20.4997,0.98617,0.56589,1,1.28477,0.000148366,0.000148366,0.000148366
6,25.8189,0.9273,0.56589,0.99225,0.85493,0.000136052,0.000136052,0.000136052
7,28.9025,0.84457,0.60465,0.9845,0.86925,0.000123738,0.000123738,0.000123738
8,31.9957,0.78788,0.6124,0.99225,0.83855,0.000111424,0.000111424,0.000111424
9,35.0115,0.72385,0.6124,1,1.10703,9.91096e-05,9.91096e-05,9.91096e-05
10,40.0151,0.65391,0.6124,1,1.24287,8.67956e-05,8.67956e-05,8.67956e-05
11,43.184,0.65008,0.62791,1,1.21504,7.44815e-05,7.44815e-05,7.44815e-05
12,46.2379,0.60288,0.62791,1,0.93213,6.21675e-05,6.21675e-05,6.21675e-05
13,49.1992,0.54306,0.63566,1,1.31895,4.98534e-05,4.98534e-05,4.98534e-05
14,52.6296,0.51375,0.62791,1,1.04189,3.75394e-05,3.75394e-05,3.75394e-05
15,55.8999,0.52004,0.62791,0.99225,0.88239,2.52254e-05,2.52254e-05,2.52254e-05
