epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.55806,0.69435,0.58462,1,0.69424,1.80832e-05,1.80832e-05,0.0806241
2,9.76474,0.6315,0.71538,1,0.53335,3.45486e-05,3.45486e-05,0.0606406
3,11.9809,0.57179,0.72308,1,0.45298,4.87975e-05,4.87975e-05,0.0406549
4,14.1023,0.52444,0.76923,1,0.49595,6.08299e-05,6.08299e-05,0.0206669
5,16.2244,0.45764,0.73846,1,0.48467,7.06458e-05,7.06458e-05,0.000676706
6,19.1764,0.41066,0.8,1,0.44722,6.55353e-05,6.55353e-05,6.55353e-05
7,21.3863,0.40434,0.77692,1,0.57993,5.99941e-05,5.99941e-05,5.99941e-05
8,23.5823,0.36666,0.78462,1,0.58633,5.44529e-05,5.44529e-05,5.44529e-05
9,25.7095,0.36474,0.76154,1,0.53105,4.89117e-05,4.89117e-05,4.89117e-05
10,27.8553,0.31123,0.79231,1,0.50981,4.33705e-05,4.33705e-05,4.33705e-05
11,30.0045,0.32489,0.78462,1,0.36713,3.78293e-05,3.78293e-05,3.78293e-05
12,32.142,0.28181,0.78462,1,0.37885,3.22881e-05,3.22881e-05,3.22881e-05
13,34.3206,0.29296,0.79231,1,0.36873,2.67469e-05,2.67469e-05,2.67469e-05
14,36.4551,0.2379,0.79231,1,0.40806,2.12057e-05,2.12057e-05,2.12057e-05
15,41.9679,0.2688,0.8,1,0.404,1.56645e-05,1.56645e-05,1.56645e-05
