epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.9684,1.71569,0.46923,0.95385,1.47363,4.25373e-05,4.25373e-05,0.0680425
2,6.19527,1.34958,0.46923,0.98462,1.31914,8.17418e-05,8.17418e-05,0.0350817
3,8.25957,1.15072,0.56154,1,1.19727,0.000116212,0.000116212,0.00211621
4,10.3344,0.99143,0.6,1,1.00879,0.000111412,0.000111412,0.000111412
5,12.4864,0.8841,0.6,1,1.08701,0.000104239,0.000104239,0.000104239
6,19.0196,0.77422,0.58462,1,0.94014,9.70665e-05,9.70665e-05,9.70665e-05
7,21.1397,0.67255,0.57692,1,1.19648,8.98939e-05,8.98939e-05,8.98939e-05
8,23.3412,0.65317,0.59231,1,1.39834,8.27214e-05,8.27214e-05,8.27214e-05
9,25.5524,0.54605,0.59231,1,1.06006,7.55488e-05,7.55488e-05,7.55488e-05
10,27.6185,0.50004,0.62308,1,1.27178,6.83763e-05,6.83763e-05,6.83763e-05
11,29.6439,0.46832,0.60769,1,0.8717,6.12038e-05,6.12038e-05,6.12038e-05
12,31.7089,0.49249,0.63846,1,1.10312,5.40312e-05,5.40312e-05,5.40312e-05
13,33.7929,0.39929,0.61538,1,1.17285,4.68587e-05,4.68587e-05,4.68587e-05
14,35.9365,0.35595,0.57692,1,1.04873,3.96861e-05,3.96861e-05,3.96861e-05
15,38.0342,0.37395,0.56923,1,1.02012,3.25136e-05,3.25136e-05,3.25136e-05
