epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.22904,1.70277,0.4,0.97692,1.44883,0.000111649,0.000111649,0.0681116
2,10.395,1.32829,0.46923,1,1.22793,0.00021352,0.00021352,0.0352135
3,13.5479,1.06714,0.50769,0.99231,1.15664,0.000301921,0.000301921,0.00230192
4,16.5803,0.86117,0.59231,0.99231,1.01924,0.000287674,0.000287674,0.000287674
5,20.0385,0.80582,0.49231,0.99231,1.17598,0.000267264,0.000267264,0.000267264
6,24.2207,0.62613,0.53846,0.98462,1.47178,0.000246855,0.000246855,0.000246855
7,27.323,0.55215,0.54615,0.98462,1.07012,0.000226446,0.000226446,0.000226446
8,30.3515,0.51895,0.56923,0.99231,1.58633,0.000206036,0.000206036,0.000206036
9,33.3554,0.45531,0.54615,0.99231,1.25332,0.000185627,0.000185627,0.000185627
10,37.7503,0.36874,0.58462,0.99231,1.37861,0.000165217,0.000165217,0.000165217
11,43.3519,0.3587,0.58462,0.98462,1.40898,0.000144808,0.000144808,0.000144808
12,46.528,0.29588,0.59231,0.97692,1.32109,0.000124399,0.000124399,0.000124399
13,49.5729,0.28187,0.56923,0.97692,1.40459,0.000103989,0.000103989,0.000103989
14,52.5362,0.20034,0.61538,0.99231,1.43262,8.35798e-05,8.35798e-05,8.35798e-05
15,55.4567,0.22566,0.6,0.99231,1.52158,6.31704e-05,6.31704e-05,6.31704e-05
