epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.72681,1.8048,0.35385,0.96154,1.56562,0.00226327,0.00226327,0.0780208
2,10.5777,1.61473,0.43846,0.97692,1.45293,0.00442012,0.00442012,0.0551777
3,15.3134,1.38054,0.55385,0.97692,1.18789,0.00639707,0.00639707,0.0321547
4,19.9782,1.20518,0.49231,0.97692,1.4998,0.00819415,0.00819415,0.00895173
5,24.2202,1.04611,0.53846,0.98462,1.06064,0.00789694,0.00789694,0.00789694
6,28.5534,1.00045,0.56923,0.99231,1.07109,0.00753717,0.00753717,0.00753717
7,36.1755,0.88867,0.55385,0.99231,1.01387,0.0071774,0.0071774,0.0071774
8,40.5448,0.78091,0.60769,0.98462,1.03379,0.00681764,0.00681764,0.00681764
9,44.7891,0.76975,0.56154,0.99231,1.0127,0.00645787,0.00645787,0.00645787
10,49.1599,0.71945,0.61538,0.98462,1.54463,0.0060981,0.0060981,0.0060981
11,53.4624,0.67616,0.60769,0.99231,1.00234,0.00573834,0.00573834,0.00573834
12,57.8274,0.6306,0.6,0.99231,1.06299,0.00537857,0.00537857,0.00537857
13,62.4712,0.6287,0.59231,0.99231,0.93367,0.00501881,0.00501881,0.00501881
14,70.1031,0.5984,0.57692,0.95385,1.57695,0.00465904,0.00465904,0.00465904
15,74.5836,0.47225,0.61538,1,0.9688,0.00429927,0.00429927,0.00429927
16,80.1878,0.47649,0.62308,1,0.95696,0.00393951,0.00393951,0.00393951
17,85.2616,0.45331,0.63077,1,1.21807,0.00357974,0.00357974,0.00357974
18,90.9581,0.3252,0.63846,1,1.55166,0.00321998,0.00321998,0.00321998
19,96.1118,0.47824,0.61538,0.99231,1.0026,0.00286021,0.00286021,0.00286021
20,100.435,0.47659,0.63846,1,0.99448,0.00250044,0.00250044,0.00250044
21,105.824,0.35154,0.63077,1,0.94976,0.00214068,0.00214068,0.00214068
22,110.452,0.3747,0.65385,1,0.88911,0.00178091,0.00178091,0.00178091
23,115.096,0.34547,0.63846,1,1.01582,0.00142115,0.00142115,0.00142115
24,119.518,0.32918,0.62308,1,0.92268,0.00106138,0.00106138,0.00106138
25,124.21,0.26413,0.66154,1,1.57217,0.000701613,0.000701613,0.000701613
