epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.93912,0.74237,0.52308,1,0.74385,2.61744e-05,2.61744e-05,0.0680262
2,5.94447,0.68375,0.69231,1,0.69014,5.00111e-05,5.00111e-05,0.03505
3,8.23614,0.63894,0.64615,1,0.68896,7.06437e-05,7.06437e-05,0.00207064
4,10.3343,0.61722,0.68462,1,0.58398,6.72306e-05,6.72306e-05,6.72306e-05
5,12.924,0.58439,0.75385,1,0.56689,6.23759e-05,6.23759e-05,6.23759e-05
6,16.2145,0.58891,0.73846,1,0.51074,5.75211e-05,5.75211e-05,5.75211e-05
7,18.7534,0.57011,0.73846,1,0.55859,5.26663e-05,5.26663e-05,5.26663e-05
8,20.9984,0.56985,0.75385,1,0.5874,4.78115e-05,4.78115e-05,4.78115e-05
9,23.015,0.52006,0.76923,1,0.55049,4.29567e-05,4.29567e-05,4.29567e-05
10,25.197,0.55348,0.76923,1,0.47974,3.81019e-05,3.81019e-05,3.81019e-05
11,27.3357,0.55872,0.77692,1,0.46494,3.32471e-05,3.32471e-05,3.32471e-05
12,29.8174,0.53682,0.78462,1,0.52207,2.83924e-05,2.83924e-05,2.83924e-05
13,31.9331,0.55401,0.79231,1,0.44656,2.35376e-05,2.35376e-05,2.35376e-05
14,34.006,0.51769,0.79231,1,0.50537,1.86828e-05,1.86828e-05,1.86828e-05
15,36.5632,0.5317,0.78462,1,0.48262,1.3828e-05,1.3828e-05,1.3828e-05
