epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,12.1087,0.70962,0.56154,1,0.71426,0.00160032,0.00053344,0.00160032,0.00053344,0.00160032,0.00053344,0.00160032,0.00053344
2,18.5791,0.68303,0.62308,1,0.62031,0.00303611,0.00101204,0.00303611,0.00101204,0.00303611,0.00101204,0.00303611,0.00101204
3,24.3056,0.61571,0.66154,1,0.62744,0.00425405,0.00141802,0.00425405,0.00141802,0.00425405,0.00141802,0.00425405,0.00141802
4,29.9578,0.57966,0.66154,1,0.56367,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
5,35.6092,0.52471,0.70769,1,0.58594,0.00368074,0.00122691,0.00368074,0.00122691,0.00368074,0.00122691,0.00368074,0.00122691
6,45.0524,0.48701,0.66923,1,0.63926,0.00335067,0.00111689,0.00335067,0.00111689,0.00335067,0.00111689,0.00335067,0.00111689
7,50.6272,0.45841,0.7,1,0.6186,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
8,56.3145,0.44434,0.69231,1,0.59502,0.00269054,0.000896846,0.00269054,0.000896846,0.00269054,0.000896846,0.00269054,0.000896846
9,61.8092,0.43347,0.69231,1,0.73462,0.00236047,0.000786824,0.00236047,0.000786824,0.00236047,0.000786824,0.00236047,0.000786824
10,67.5264,0.37042,0.7,1,0.53967,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802
